epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
38,77,,0.7333333492279053,,0.9735144376754761,,
38,77,,,,,0.27906978130340576,1.8338658809661865
38,77,0.5996677875518799,,1.1077148914337158,,,
39,78,,0.55859375,,1.1165897846221924,,
39,79,,0.5777778029441833,,1.1110081672668457,,
39,79,,,,,0.27906978130340576,1.8376988172531128
39,79,0.5930232405662537,,1.108797311782837,,,
40,80,,0.5703125,,1.1502668857574463,,
40,81,,0.5111111402511597,,1.1508257389068604,,
40,81,,,,,0.2868216931819916,1.8451064825057983
40,81,0.5930232405662537,,1.079058289527893,,,
41,82,,0.61328125,,1.0737135410308838,,
41,83,,0.6888889074325562,,0.9915964603424072,,
41,83,,,,,0.2868216931819916,1.8527905941009521
41,83,0.6129568219184875,,1.0646098852157593,,,
42,84,,0.6328125,,1.0193536281585693,,
42,85,,0.5555555820465088,,1.1501117944717407,,
42,85,,,,,0.2945736348628998,1.862513542175293
42,85,0.619601309299469,,1.0387904644012451,,,
43,86,,0.640625,,1.0124626159667969,,
43,87,,0.5777778029441833,,1.0670711994171143,,
43,87,,,,,0.2945736348628998,1.866304874420166
43,87,0.6146179437637329,,1.0479918718338013,,,
44,88,,0.6328125,,1.0375226736068726,,
44,89,,0.6111111044883728,,1.0391817092895508,,
44,89,,,,,0.2945736348628998,1.8662527799606323
44,89,0.6262458562850952,,1.0304687023162842,,,
45,90,,0.60546875,,1.041068434715271,,
45,91,,0.7111111283302307,,0.9290813207626343,,
45,91,,,,,0.27906978130340576,1.8670142889022827
45,91,0.6245847344398499,,1.01261568069458,,,
46,92,,0.609375,,1.0238449573516846,,
46,93,,0.5888888835906982,,1.097762942314148,,
46,93,,,,,0.27906978130340576,1.8681451082229614
46,93,0.619601309299469,,1.0310494899749756,,,
47,94,,0.6484375,,0.9776906967163086,,
47,95,,0.6666666865348816,,1.0886904001235962,,
47,95,,,,,0.2945736348628998,1.8696038722991943
47,95,0.6644518375396729,,1.003839373588562,,,
48,96,,0.6640625,,0.9223568439483643,,
48,97,,0.7222222089767456,,0.9409404993057251,,
48,97,,,,,0.2945736348628998,1.8725436925888062
48,97,0.6578072905540466,,0.9637005925178528,,,
49,98,,0.65234375,,0.9664785265922546,,
49,99,,0.644444465637207,,0.9929970502853394,,
49,99,,,,,0.302325576543808,1.8770084381103516
49,99,0.659468412399292,,0.9689355492591858,,,
50,100,,0.640625,,0.924505352973938,,
50,101,,0.6000000238418579,,1.0942648649215698,,
50,101,,,,,0.3100775182247162,1.8771388530731201
50,101,0.6495016813278198,,0.9399635195732117,,,
51,102,,0.68359375,,0.8730006814002991,,
51,103,,0.7111111283302307,,0.8833081722259521,,
51,103,,,,,0.3100775182247162,1.8713778257369995
51,103,0.6578072905540466,,0.9517294764518738,,,
52,104,,0.67578125,,0.9254000186920166,,
52,105,,0.6555555462837219,,0.9463703036308289,,
52,105,,,,,0.3100775182247162,1.8613898754119873
52,105,0.6760797500610352,,0.9351051449775696,,,
53,106,,0.72265625,,0.9137058854103088,,
53,107,,0.7111111283302307,,0.9272173643112183,,
53,107,,,,,0.3100775182247162,1.8532071113586426
53,107,0.6943521499633789,,0.9303284883499146,,,
54,108,,0.7109375,,0.8679520487785339,,
54,109,,0.6555555462837219,,0.997421383857727,,
54,109,,,,,0.3100775182247162,1.8540457487106323
54,109,0.6877076625823975,,0.9108780026435852,,,
55,110,,0.65234375,,0.9869982004165649,,
55,111,,0.7222222089767456,,0.8193750381469727,,
55,111,,,,,0.2945736348628998,1.8590731620788574
55,111,0.6677740812301636,,0.9532082676887512,,,
56,112,,0.6875,,0.8358142971992493,,
56,113,,0.6666666865348816,,0.9505888223648071,,
56,113,,,,,0.2945736348628998,1.8649457693099976
56,113,0.6760797500610352,,0.8952706456184387,,,
57,114,,0.640625,,0.9226788282394409,,
57,115,,0.7555555701255798,,0.7963760495185852,,
